124281	S	4.73868	4.60	0.07
124282	S	4.72671	6.78	0.10
124286	S	4.73604	5.21	0.24
124289	S	4.73678	4.83	0.11
124290	S	4.72761	10.21	0.12
124291	S	4.73469	6.41	0.09
124293	S	4.73266	12.57	0.15
124294	S	4.72912	16.95	0.20
124296	S	4.73099	18.91	0.16
124299	C	4.71673	3.76	0.09
124300	C	4.71673	3.56	0.06
124301	C	4.71624	3.52	0.06
124302	C	4.71678	3.59	0.06
124305	C	4.71675	3.63	0.29
124309	C	4.71678	3.52	0.05
124311	C	4.71678	3.45	0.11
124312	C	4.71622	3.63	0.05
124313	C	4.71677	3.57	0.05
124314	C	4.71677	3.47	0.05
124315	C	4.71678	3.67	0.05
124318	C	4.71680	3.57	0.07
124319	C	4.71680	3.56	0.05
124321	C	4.71682	3.61	0.06
124322	C	4.71683	3.50	0.06
124323	C	4.71683	3.68	0.13
124324	C	4.71683	3.59	0.06
124326	C	4.71680	3.65	0.05
124327	S	4.73101	18.98	0.16
124328	P	4.73011	19.93	0.16
124329	P	4.73016	19.86	0.16
124333	P	4.73016	20.00	0.15
124334	P	4.73018	19.64	0.28
124335	P	4.73017	20.22	0.22
124336	P	4.73017	20.05	0.15
124337	P	4.73019	19.62	0.15
124338	P	4.73019	19.79	0.15
124339	P	4.73019	20.04	0.16
124341	P	4.73021	20.43	0.39
124343	P	4.73018	19.58	0.23
124344	P	4.73017	19.97	0.16
124346	P	4.73018	20.52	0.25
124347	P	4.73038	19.98	0.15
124348	P	4.73019	20.03	0.15
124349	P	4.73019	19.81	0.15
124350	P	4.73019	19.76	0.15
124351	P	4.73022	19.74	0.14
124352	P	4.73018	19.92	0.14
124353	P	4.73021	20.10	0.14
124354	P	4.73021	19.94	0.15
124357	P	4.73023	21.45	0.87
124359	P	4.73020	19.91	0.16
124360	P	4.73023	19.80	0.14
124361	P	4.73023	20.06	0.14
124363	P	4.73022	20.09	0.16
124364	P	4.73020	19.98	0.14
124365	P	4.73023	19.80	0.15
124368	P	4.73022	19.90	0.20
124369	P	4.73022	19.72	0.15
124372	P	4.73018	19.84	0.21
124373	P	4.73018	20.06	0.15
124374	P	4.73007	19.90	0.15
124375	P	4.73015	20.06	0.14
124376	P	4.73012	19.89	0.14
