         CCEN           E1        VISEN                      E            PX            PY            PZ
 6.480322e+00  1.107377e+00  6.715711e+00  	  5.583838e-01  2.475843e-01  9.197606e-02 -6.948301e-02
 2.417677e+00  7.503686e-01  2.319263e+00  	  5.613524e-01  1.386780e-02  1.194715e-01 -3.565494e-02
 4.151478e+00  1.535233e+00  3.129343e+00  	  5.581971e-01 -7.375486e-02 -1.407174e-01 -7.545154e-02
 1.227201e+00  6.088481e-01  3.453355e+00  	  5.569329e-01  3.338720e-02  7.935332e-02  1.206673e-01
 6.716414e+00  1.189473e+00  7.203696e+00  	  5.583555e-01  7.918745e-02 -2.048987e-01  1.089312e-01
 2.826952e+00  1.327717e+00  3.646387e+00  	  5.478591e-01 -1.338404e-02 -4.176453e-01 -7.244880e-02
 2.477344e+00  1.266342e+00  2.450757e+00  	  5.546560e-01 -6.752313e-02 -4.321242e-01  6.640410e-02
 5.247369e+00  1.184718e+00  4.294695e+00  	  5.607698e-01  8.182529e-02  7.864037e-02  4.185200e-02
 6.096632e+00  1.461139e+00  5.857487e+00  	  5.593133e-01  1.889532e-01  8.940840e-02 -1.204129e-01
 5.553397e+00  1.437561e+00  5.545935e+00  	  5.546657e-01  2.924234e-02 -4.006382e-01 -2.229852e-01
 5.703835e+00  2.315868e+00  6.219351e+00  	  5.562676e-01  6.048797e-02  2.579420e-01  1.372481e-01
 3.098611e+00  8.820719e-01  3.447155e+00  	  5.637541e-01 -1.063012e-01  2.187797e-02  2.380315e-01
 2.194903e+00  4.754719e-01  2.481024e+00  	  5.563616e-01  2.023958e-01 -6.973374e-02 -1.500389e-02
 3.508040e+00  4.268645e-01  2.494067e+00  	  5.561458e-01  2.758992e-01  2.378604e-01 -7.506648e-02
 1.346801e+00  8.628748e-01  3.117124e+00  	  5.640996e-01  2.777392e-02  9.464391e-02 -1.420983e-02
 6.181046e+00  1.381220e+00  6.072131e+00  	  5.597053e-01  1.154625e-01 -9.129503e-02  6.810905e-02
 6.037238e+00  2.125118e+00  7.188508e+00  	  5.602791e-01 -1.824858e-01 -1.342535e-01  8.578205e-03
 6.536238e+00  2.290535e+00  7.303924e+00  	  5.610123e-01  3.952475e-02  3.341228e-02  2.300863e-01
 5.560031e+00  2.885434e+00  7.620012e+00  	  5.537666e-01 -3.852802e-01  1.183066e-01  3.537774e-03
 3.276247e+00  1.530974e+00  3.362058e+00  	  5.564214e-01  3.037274e-01  1.910095e-02 -4.402361e-02
 5.521881e+00  1.126558e+00  5.765649e+00  	  5.560611e-01  9.396453e-02  1.141267e-01 -2.333286e-02
 5.542141e+00  2.381504e+00  6.852819e+00  	  5.640148e-01 -9.738544e-02  6.757070e-02 -1.050963e-02
