124080	S	4.72846	14142	14971	1613	13.97
124081	S	4.73792	5051	15787	1681	4.73
124084	S	4.72597	4429	13359	1522	4.90
124085	S	4.73585	5330	14305	1650	5.51
124086	S	4.72684	5952	12652	1437	6.96
124087	S	4.73391	7492	13710	1551	8.08
124089	S	4.73190	8351	7804	862	15.83
124091	S	4.72830	14373	16216	1799	13.12
124092	P	4.73028	12457	9413	1027	19.58
124102	S	4.72830	31693	35786	3935	13.10
124103	S	4.73791	3041	9128	1003	4.93
124106	S	4.73600	3093	8642	968	5.29
124107	S	4.72680	3815	8070	910	6.99
124109	S	4.73390	4510	8037	883	8.30
124110	S	4.73184	9836	8912	986	16.31
124111	S	4.72842	13396	14356	1509	13.81
124112	S	4.73023	16998	12679	1331	19.83
124113	C	4.71668	5310	21913	2487	3.58
124114	C	4.71671	6607	27127	3023	3.60
124115	C	4.71671	6706	27459	3064	3.61
124117	C	4.71674	1510	6183	681	3.61
124118	C	4.71668	299	1130	136	3.91
124119	C	4.71671	846	3343	366	3.74
124121	C	4.71671	3540	14647	1623	3.57
124122	C	4.71671	602	2580	307	3.45
124123	C	4.71671	6520	26648	2989	3.62
124125	C	4.71668	6832	27680	3186	3.65
124126	C	4.71671	5909	24547	2719	3.56
124127	C	4.71671	6806	28185	3026	3.57
124128	C	4.71671	6436	26591	2964	3.58
124129	C	4.71671	6616	27447	3084	3.57
124132	C	4.71671	3595	14532	1613	3.68
124134	C	4.71671	3253	13713	1499	3.53
124137	C	4.71674	6688	27725	3146	3.59
124138	C	4.71674	6962	28543	3181	3.63
124139	C	4.71674	6885	28173	3204	3.62
124140	C	4.71674	6505	27245	3111	3.55
124141	C	4.71674	6453	27558	3073	3.48
124142	P	4.73021	6512	5004	510	19.25
124144	P	4.73023	34103	25210	2825	20.01
124146	P	4.73029	22356	16365	1766	20.21
124149	P	4.73027	16307	12321	1305	19.58
124150	P	4.73029	33776	24744	2731	20.19
124152	P	4.73029	37922	28143	3174	19.93
124153	P	4.73033	36630	27649	2967	19.60
124154	P	4.73032	35659	26701	2942	19.76
124155	P	4.73032	10653	8055	825	19.56
124156	P	4.73035	37837	28168	3112	19.87
124158	P	4.73032	3321	2525	262	19.45
124159	P	4.73036	21337	15705	1764	20.10
124162	P	4.73035	34116	25573	2752	19.73
124164	P	4.73038	3424	2533	289	19.99
124165	P	4.73033	37270	27837	2993	19.80
124166	P	4.73039	36571	27235	3002	19.86
124167	P	4.73038	34936	25926	2824	19.93
124170	P	4.73038	24002	17794	1977	19.95
124171	P	4.73039	35826	26928	2872	19.68
124172	P	4.73038	42129	31572	3482	19.74
124173	P	4.73035	45369	33664	3679	19.93
124174	P	4.73039	44331	33424	3728	19.62
124175	P	4.73041	45842	34218	3842	19.82
124176	P	4.73041	44754	33061	3617	20.02
124177	P	4.73041	40381	30159	3369	19.80
124178	P	4.73044	8301	6137	682	20.01
124179	P	4.73040	43059	32219	3553	19.77
124181	P	4.73041	36098	26858	3052	19.88
124185	P	4.73043	16782	12776	1312	19.43
124186	P	4.73044	38923	28974	3121	19.87
124188	P	4.73043	31683	23734	2592	19.74
124190	P	4.73043	42254	31960	3577	19.55
124192	P	4.73043	41939	31206	3362	19.88
124193	P	4.73043	44076	32744	3628	19.91
124194	P	4.73043	43584	32782	3672	19.66
