121887	S	5.18941	4452	15810	1769	3.47
121889	S	5.17340	3891	14494	1658	3.31
121890	S	5.18648	4172	14444	1591	3.56
121891	S	5.17551	766	2464	266	3.83
121892	S	5.17551	4345	13285	1478	4.03
121895	S	5.18138	9432	18933	2169	6.15
121897	S	5.18341	6908	18863	2100	4.52
121898	S	5.17741	8853	19264	2121	5.67
121899	C	5.16508	4136	15615	1739	3.27
121901	C	5.16483	3715	14423	1617	3.18
121902	C	5.16483	1361	5357	598	3.13
121903	C	5.16486	3729	14268	1561	3.22
121904	C	5.16489	4527	16966	1932	3.29
121905	C	5.16483	4137	15545	1702	3.28
121906	C	5.16483	2139	8234	971	3.20
121909	C	5.16486	571	2310	242	3.05
121911	C	5.16486	4215	15917	1708	3.27
121912	C	5.16486	4232	16269	1890	3.21
121914	C	5.16486	1683	6291	670	3.30
121915	C	5.16483	4335	16613	1809	3.22
121916	P	5.17917	10214	17929	2043	7.03
121917	P	5.17923	11283	20274	2276	6.87
121918	P	5.17921	9549	17027	1952	6.92
121920	P	5.17923	8158	14768	1638	6.82
121924	P	5.17922	2370	4151	463	7.04
121925	P	5.17923	9240	16482	1907	6.92
121927	P	5.17936	11068	19665	2280	6.94
121928	P	5.17914	14254	25471	2900	6.90
121929	P	5.17934	13871	24690	2718	6.93
121930	P	5.17916	13287	23967	2760	6.84
121932	P	5.17913	13936	24499	2789	7.02
121933	P	5.17915	13668	24897	2878	6.77
121935	P	5.17918	1050	1961	213	6.61
121936	P	5.17918	10050	17893	2043	6.93
121939	P	5.17919	4308	7870	920	6.75
121940	P	5.17914	14809	26550	2999	6.88
121943	P	5.17919	5770	10173	1158	7.00
121944	P	5.17915	10649	19010	2051	6.91
121946	P	5.17918	3345	5825	638	7.09
121948	P	5.17918	13662	24016	2770	7.02
121949	P	5.17915	14858	26079	2883	7.03
121950	P	5.17918	13758	24119	2761	7.04
121951	P	5.17918	15074	27293	3131	6.81
121952	P	5.17923	15212	27141	3106	6.92
121953	P	5.17925	8540	15075	1679	6.99
121956	P	5.17922	1223	2056	238	7.34
121961	P	5.17926	1261	2280	238	6.82
121962	P	5.17923	10754	18931	2189	7.01
121963	P	5.17927	6137	10896	1201	6.95
121965	P	5.17926	7523	13191	1501	7.04
121966	P	5.17923	17891	31335	3606	7.04
121968	P	5.17927	10476	18490	2108	6.99
121969	P	5.17926	1875	3364	419	6.88
121970	P	5.17927	18174	32129	3656	6.98
121972	P	5.17927	15299	27104	3046	6.96
121973	P	5.17927	1960	3535	389	6.84
121974	P	5.17927	12652	22817	2589	6.84
