129519	C	4.99947	3.45	0.13
129522	C	4.99956	3.16	0.18
129524	C	4.99953	3.23	0.08
129525	C	4.99952	3.25	0.16
129526	C	4.99950	3.30	0.09
129527	C	4.99953	3.26	0.08
129529	C	4.99951	3.37	0.07
129530	C	4.99956	3.04	0.17
129531	C	4.99953	3.41	0.07
129535	P	5.01216	8.78	0.13
129536	P	5.01220	9.20	0.10
129538	P	5.01223	8.92	0.15
129539	P	5.01229	8.90	0.08
129540	P	5.01225	9.09	0.10
129541	P	5.01229	9.53	0.21
129542	P	5.01228	9.06	0.27
129543	P	5.01229	8.79	0.32
129544	P	5.01226	9.25	0.72
129545	P	5.01229	9.03	0.12
129549	P	5.01227	9.18	0.10
129550	P	5.01233	8.96	0.18
129551	P	5.01226	8.96	0.09
129552	P	5.01238	9.58	0.10
129553	P	5.01230	9.54	0.17
129555	P	5.01237	9.82	0.09
129556	P	5.01234	9.72	0.09
129557	P	5.01241	9.74	0.08
129558	P	5.01236	9.63	0.13
129560	P	5.01236	9.89	0.10
129564	P	5.01225	9.65	0.08
129565	P	5.01230	9.67	0.43
129566	P	5.01274	9.64	0.08
129567	P	5.01273	9.74	0.15
129568	P	5.01273	9.55	0.11
129570	P	5.01272	9.28	0.29
129572	P	5.01277	9.63	0.08
129573	P	5.01269	9.83	0.15
129574	P	5.01271	9.55	0.11
129575	P	5.01268	9.56	0.08
129576	P	5.01273	9.51	0.08
129579	P	5.01276	9.57	0.09
129580	P	5.01270	9.71	0.25
129582	P	5.01213	9.38	0.10
129591	P	5.01287	9.50	0.10
129592	P	5.01288	9.97	0.14
129593	P	5.01282	9.75	0.14
129596	P	5.01284	9.90	0.09
129597	P	5.01276	9.91	0.09
129598	P	5.01277	9.89	0.08
129599	P	5.01265	10.01	0.09
129600	P	5.01277	9.81	0.09
129601	P	5.01271	9.98	0.09
129603	P	5.01268	9.84	0.09
129604	P	5.01272	9.78	0.09
129605	P	5.01268	9.85	0.08
129610	P	5.01271	9.84	0.37
129611	P	5.01271	9.31	0.12
129617	P	5.01263	9.59	0.08
129618	P	5.01269	9.51	0.08
129619	P	5.01265	9.51	0.08
129620	P	5.01269	9.60	0.10
129622	P	5.01266	8.82	0.38
129623	P	5.01260	9.20	0.20
129626	P	5.01263	9.62	0.11
129629	P	5.01265	9.66	0.08
129630	P	5.01266	9.51	0.09
129631	P	5.01261	9.44	0.08
129632	P	5.01267	9.59	0.08
129633	P	5.01267	9.52	0.09
129635	P	5.01261	9.62	0.08
129637	P	5.01261	9.46	0.07
129638	P	5.01268	9.54	0.08
129641	P	5.01265	9.64	0.08
129643	P	5.01264	9.64	0.08
129644	P	5.01267	9.46	0.10
129645	P	5.01270	9.66	0.14
129646	P	5.01270	9.81	0.08
129647	P	5.01270	9.80	0.36
129648	P	5.01267	9.59	0.09
129649	P	5.01270	9.47	0.08
129651	P	5.01273	9.56	0.08
129652	P	5.01276	9.59	0.13
129653	P	5.01267	9.46	0.08
129654	P	5.01276	9.83	0.35
129655	P	5.01273	9.53	0.08
129656	P	5.01273	9.48	0.08
129659	P	5.01275	9.57	0.19
129660	P	5.01272	9.59	0.09
129672	P	4.99978	3.30	0.06
129673	P	4.99970	3.41	0.10
129674	P	4.99970	3.55	0.12
129675	P	4.99970	3.52	0.10
129676	P	4.99969	3.41	0.10
129677	P	4.99975	3.19	0.15
129678	P	4.99974	3.37	0.10
129680	P	4.99969	3.32	0.07
129681	P	4.99969	3.27	0.09
129685	P	4.99967	3.40	0.06
129687	P	4.99967	3.20	0.06
129689	P	4.99973	3.30	0.06
129691	P	4.99968	3.37	0.08
129692	P	4.99968	3.44	0.07
129693	P	4.99968	3.31	0.08
129707	P	4.99965	3.58	0.10
129708	P	4.99965	3.54	0.09
129709	P	4.99962	3.39	0.08
129710	P	4.99971	3.34	0.09
129711	P	4.99962	3.39	0.09
129712	P	4.99965	3.36	0.05
129713	P	4.99962	3.35	0.05
129714	P	4.99962	3.35	0.05
129715	P	4.99958	3.37	0.05
129716	P	4.99960	3.33	0.04
129719	P	4.99959	3.39	0.06
129723	P	4.99959	3.24	0.08
129724	P	4.99967	3.25	0.09
129725	P	4.99965	4.09	0.33
129728	P	4.99971	3.41	0.05
129730	P	4.99960	3.43	0.05
