127619	4.99924
127620	4.99924
127621	4.99862
127622	4.99868
127623	4.99864
127625	4.99872
127626	4.99870
127627	4.99869
127628	4.99870
127630	4.99872
127631	4.99873
127632	4.99873
127635	4.99875
127637	4.99873
127638	4.99872
127641	4.99872
127642	4.99870
127643	4.99872
127644	4.99872
127645	4.99872
127646	4.99869
127647	4.99871
127650	4.99874
127651	4.99872
127652	4.99874
127654	4.99877
127656	4.99880
127657	4.99876
127659	4.99877
127661	4.99876
127662	4.99879
127663	4.99876
127667	4.99881
127668	4.99878
127670	4.99878
127671	4.99875
127672	4.99872
127673	4.99872
127677	4.99876
127678	4.99875
127680	4.99875
127681	4.99874
127682	4.99874
127683	4.99877
127684	4.99872
127685	4.99875
127688	4.99875
127690	4.99875
127692	4.99877
127693	4.99875
127694	4.99872
127695	4.99874
127698	4.99872
127700	4.99872
127701	4.99873
127702	4.99875
127703	4.99876
127709	4.99873
127710	4.99873
127712	4.99873
127715	4.99870
127719	4.99870
127720	4.99872
127721	4.99872
127722	4.99874
127723	4.99873
