126496	9.67	0.18
126499	9.50	0.28
126500	10.04	0.48
126503	10.03	0.22
126505	9.44	0.12
126506	9.77	0.15
126507	9.53	0.15
126508	9.53	0.09
126509	9.58	0.10
126510	9.59	0.09
126511	9.59	0.17
126513	9.44	0.16
126514	9.36	0.09
126520	9.78	0.20
126521	9.67	0.22
126525	9.27	0.53
126527	9.50	0.12
126528	9.92	0.25
126531	9.36	0.26
126532	9.31	0.09
126535	9.89	0.27
126536	9.24	0.09
126540	9.41	0.08
126541	9.40	0.09
126542	9.49	0.17
126546	9.29	0.24
126552	9.46	0.09
126554	9.50	0.08
126555	9.40	0.08
126556	9.62	0.08
126557	9.46	0.08
126559	9.51	0.09
126562	9.36	0.09
126563	9.48	0.08
126564	9.66	0.12
