127619	3.24	0.05
127620	3.29	0.05
127621	3.32	0.05
127622	3.36	0.05
127623	3.36	0.04
127625	3.34	0.05
127626	3.27	0.04
127627	3.24	0.05
127628	3.21	0.13
127630	3.29	0.06
127631	3.32	0.05
127632	3.36	0.16
127635	3.37	0.07
127637	3.29	0.04
127638	3.35	0.05
127641	3.37	0.09
127642	3.32	0.08
127643	3.34	0.04
127644	3.24	0.04
127645	3.30	0.04
127646	3.24	0.04
127647	3.27	0.05
127650	3.33	0.05
127651	3.30	0.04
127652	3.32	0.05
127654	3.23	0.05
127656	3.44	0.21
127657	3.29	0.04
127659	3.29	0.05
127661	3.27	0.06
127662	3.29	0.04
127663	3.23	0.04
127667	3.28	0.07
127668	3.29	0.04
127670	3.26	0.05
127671	3.22	0.12
127672	3.12	0.15
127673	3.34	0.04
127677	3.34	0.05
127678	3.23	0.04
127680	3.27	0.04
127681	3.30	0.04
127682	3.31	0.04
127683	3.32	0.04
127684	3.28	0.04
127685	3.23	0.04
127688	3.27	0.25
127690	3.30	0.05
127692	3.43	0.06
127693	3.17	0.24
127694	3.34	0.07
127695	3.28	0.05
127698	3.29	0.05
127700	3.25	0.04
127701	3.30	0.04
127702	3.23	0.04
127703	3.36	0.04
127709	0.00	0.00
127710	3.24	0.04
127712	3.31	0.07
127715	3.56	0.22
127719	3.28	0.23
127720	3.23	0.13
127721	3.30	0.04
127722	3.33	0.04
127723	3.31	0.05
