5.04249	3.37	0.15
5.04265	3.67	0.12
5.04273	3.57	0.23
5.04273	3.56	0.08
5.04270	3.46	0.07
5.04264	3.47	0.07
5.04264	3.55	0.07
5.04263	3.47	0.09
5.04266	3.50	0.08
5.04261	3.47	0.18
5.01244	9.39	0.11
5.01160	0.00	0.00
5.01216	9.24	0.10
5.01223	9.30	0.10
5.01223	9.24	0.15
5.01225	9.34	0.13
5.01223	9.37	0.09
5.01231	9.27	0.10
5.01241	9.43	0.09
5.01242	9.26	0.09
5.01239	9.26	0.09
5.01238	9.39	0.09
5.01241	9.49	0.09
5.01241	9.32	0.09
5.01245	9.51	0.09
5.01246	9.40	0.37
5.01249	9.33	0.12
5.01246	9.38	0.10
5.01259	9.30	0.11
5.01318	9.76	0.58
5.01253	9.61	0.24
5.01256	9.40	0.08
5.01256	9.57	0.10
5.01256	9.25	0.26
5.01256	9.38	0.08
5.01256	9.55	0.08
5.01255	9.31	0.08
5.01256	9.49	0.08
5.01259	9.52	0.09
5.01258	9.35	0.11
5.01259	9.50	0.08
5.01259	9.81	0.60
5.01259	9.29	0.10
5.01258	9.32	0.12
5.01258	9.33	0.08
5.01272	9.38	0.06
5.01281	9.02	0.15
5.01289	9.64	0.30
5.01289	9.39	1.32
5.01289	9.29	0.09
5.01287	9.23	0.08
5.01284	9.37	0.09
5.01284	0.00	0.00
5.01284	9.65	0.09
5.01281	9.29	0.23
5.01281	9.32	0.08
5.01292	9.48	0.09
5.01288	9.45	0.25
5.01288	9.33	0.08
5.01294	9.34	0.11
5.01294	9.32	0.08
5.01293	9.39	0.08
5.01295	9.26	0.08
5.01296	9.40	0.08
