126831	9.50	0.15
126858	9.64	0.09
126859	9.53	0.09
126862	9.17	0.11
126866	9.73	0.11
126868	9.41	0.09
126869	9.40	0.09
126870	9.47	0.09
126871	9.32	0.09
126874	9.51	0.10
126875	9.34	0.12
126877	9.48	0.18
126878	9.41	0.09
126879	9.42	0.13
126880	9.27	0.17
126881	9.43	0.09
126882	9.50	0.09
126883	9.40	0.09
126884	9.15	0.27
126890	9.36	0.10
126892	9.36	0.09
126893	9.46	0.11
126894	9.18	0.19
126895	9.33	0.09
126906	9.72	0.34
126907	9.03	0.19
126909	9.58	0.09
126911	9.44	0.09
126912	9.50	0.11
126914	9.49	0.08
126915	9.37	0.08
