126496	5.01258
126499	5.01261
126500	5.01261
126503	5.01271
126505	5.01255
126506	5.01256
126507	5.01265
126508	5.01266
126509	5.01274
126510	5.01275
126511	5.01272
126513	5.01275
126514	5.01280
126520	5.01285
126521	5.01285
126525	5.01280
126527	5.01283
126528	5.01280
126531	5.01283
126532	5.01285
126535	5.01289
126536	5.01291
126540	5.01286
126541	5.01286
126542	5.01286
126546	5.01286
126552	5.01286
126554	5.01288
126555	5.01288
126556	5.01283
126557	5.01283
126559	5.01281
126562	5.01289
126563	5.01290
126564	5.01291
