129535	8.78	0.13
129536	9.20	0.10
129538	8.92	0.15
129539	8.90	0.08
129540	9.09	0.10
129541	9.53	0.21
129542	9.06	0.27
129543	8.79	0.32
129544	9.25	0.72
129545	9.03	0.12
129549	9.18	0.10
129550	8.96	0.18
129551	8.96	0.09
129552	9.58	0.10
129553	9.54	0.17
129555	9.82	0.09
129556	9.72	0.09
129557	9.74	0.08
129558	9.63	0.13
129559	8.83	0.50
129560	9.89	0.10
129561	0.00	0.00
129563	11.07	1.50
129564	9.65	0.08
129565	9.67	0.43
129566	9.64	0.08
129567	9.74	0.15
129568	9.55	0.11
129570	9.28	0.29
129572	9.63	0.08
129573	9.83	0.15
129574	9.55	0.11
129575	9.56	0.08
129576	9.51	0.08
129579	9.57	0.09
129580	9.71	0.25
129582	9.38	0.10
129590	10.05	1.34
129591	9.50	0.10
129592	9.97	0.14
129593	9.75	0.14
129596	9.90	0.09
129597	9.91	0.09
129598	9.89	0.08
129599	10.01	0.09
129600	9.81	0.09
129601	9.98	0.09
129603	9.84	0.09
129604	9.78	0.09
129605	9.85	0.08
129610	9.84	0.37
129611	9.31	0.12
129616	7.40	0.92
129617	9.59	0.08
129618	9.51	0.08
129619	9.51	0.08
129620	9.60	0.10
129621	8.78	1.13
129622	8.82	0.38
129623	9.20	0.20
129626	9.62	0.11
129629	9.66	0.08
129630	9.51	0.09
129631	9.44	0.08
129632	9.59	0.08
129633	9.52	0.09
129635	9.62	0.08
129637	9.46	0.07
129638	9.54	0.08
129641	9.64	0.08
129643	9.64	0.08
129644	9.46	0.10
129645	9.66	0.14
129646	9.81	0.08
129647	9.80	0.36
129648	9.59	0.09
129649	9.47	0.08
129651	9.56	0.08
129652	9.59	0.13
129653	9.46	0.08
129654	9.83	0.35
129655	9.53	0.08
129656	9.48	0.08
129659	9.57	0.19
129660	9.59	0.09
129666	0.00	0.00
129667	0.00	0.00
129672	3.30	0.06
129673	3.41	0.10
129674	3.55	0.12
129675	3.52	0.10
129676	3.41	0.10
129677	3.19	0.15
129678	3.37	0.10
129680	3.32	0.07
129681	3.27	0.09
129683	0.00	0.00
129685	3.40	0.06
129687	3.20	0.06
129689	3.30	0.06
129691	3.37	0.08
129692	3.44	0.07
129693	3.31	0.08
129707	3.58	0.10
129708	3.54	0.09
129709	3.39	0.08
129710	3.34	0.09
129711	3.39	0.09
129712	3.36	0.05
129713	3.35	0.05
129714	3.35	0.05
129715	3.37	0.05
129716	3.33	0.04
129718	0.00	0.00
129719	3.39	0.06
129722	0.00	0.00
129723	3.24	0.08
129724	3.25	0.09
129725	4.09	0.33
129727	0.00	0.00
129728	3.41	0.05
129730	3.43	0.05
