126252	3.16	0.07
126253	3.19	0.10
126254	3.30	0.08
126255	3.41	0.09
126256	3.22	0.08
126257	3.23	0.06
126258	3.36	0.06
126259	3.27	0.09
126260	3.33	0.06
126262	3.37	0.09
126263	3.47	0.13
126265	3.27	0.05
126266	3.31	0.04
126267	3.63	0.18
126268	3.24	0.05
126273	3.14	0.09
126274	3.32	0.28
126648	4.11	0.63
126649	3.45	0.15
126650	3.07	0.20
126651	3.34	0.15
126652	3.41	0.06
126653	3.33	0.05
126656	3.33	0.05
126657	3.25	0.05
126658	3.23	0.05
126662	3.29	0.06
126664	3.41	0.05
126665	3.29	0.05
126666	3.33	0.05
126667	3.35	0.05
126668	3.28	0.05
126669	3.41	0.05
126670	3.34	0.05
126673	3.28	0.06
