122536	5743	5362	117.188	2.5842	70.2	1.30132
122539	5525	5117	153.036	2.95193	156.789	1.93215
122540	5758	5332	31.6799	1.35585	14.0535	0.615347
122541	5590	5175	53.0685	1.74657	99.2295	1.54144
122542	8006	7593	93.3725	2.30571	60.9165	1.20804
122545	5243	4818	99.1387	2.37985	184.275	2.0941
122548	5457	5072	54.9096	1.77653	22.788	0.760316
122549	8544	8031	138.843	2.80853	201.992	2.18611
122550	5703	5270	140.253	2.82573	162.495	1.96677
122555	3861	3583	58.1294	1.83267	121.541	1.70941
122556	6311	6031	157.584	2.99277	38.169	0.965687
122557	3913	3622	139.837	2.82677	14.2605	0.628715
122559	5427	5071	0.56334	0.28671	94.4505	1.50554
122560	6944	6568	74.9792	2.0692	109.949	1.61855
122562	5326	4929	134.881	2.77296	115.466	1.66212
122563	4839	4491	18.8238	1.05742	162.099	1.96718
122564	8863	8436	35.9713	1.43671	68.931	1.28346
122568	4591	4192	96.5052	2.35015	164.732	1.98333
122570	7337	6767	221.09	3.54256	177.714	2.05323
122571	7229	6661	37.8903	1.47784	115.272	1.65671
122572	7602	6971	30.5257	1.32814	219.699	2.28058
122573	7749	7156	257.895	3.82537	279.626	2.57091
122574	5645	5217	71.6129	2.0246	238.172	2.37621
122577	10634	10175	94.1923	2.31407	161.694	1.95565
122579	3631	3446	146.931	2.89655	72.1575	1.32429
122585	7250	6648	75.8173	2.0806	184.523	2.09147
122586	7139	6571	126.916	2.68762	225.45	2.31112
122587	7095	6527	128.309	2.70261	27.963	0.832006
122590	5977	5477	39.2231	1.50443	100.053	1.54764
122594	3191	2943	109.334	2.5064	79.4385	1.39798
122599	1726	1590	10.2958	0.857079	85.5135	1.47842
122602	7323	6735	209.911	3.45273	240.273	2.38469
122604	7612	7069	104.3	2.43752	175.14	2.03792
122605	7692	7090	197.742	3.35104	105.831	1.58857
122606	2436	2235	26.4449	1.26697	16.38	0.698988
122608	14339	13745	154.117	2.95646	38.394	0.958966
122613	5140	4933	61.7796	1.88274	13.185	0.593391
122614	18943	18111	124.91	2.66161	167.405	1.98748
122615	18894	18065	202.592	3.38834	150.669	1.88587
122616	18775	18041	198.071	3.35035	325.008	2.76687
122619	19091	18282	88.449	2.24059	115.785	1.65399
122620	19069	18305	156.357	2.97721	298.683	2.65254
122623	8098	7737	122.694	2.64122	62.946	1.22771
122625	13553	12963	49.2716	1.67572	86.6745	1.4337
122629	18384	17623	132.783	2.74405	289.332	2.61095
122631	4554	4328	48.3694	1.67041	49.2885	1.09727
122634	7017	6721	25.5564	1.21744	112.86	1.63924
122640	10436	10009	89.4474	2.25521	267.768	2.51372
122641	17422	16639	233.021	3.63366	197.406	2.15781
122642	19118	18370	33.6538	1.38541	324.963	2.7666
122646	8893	8521	230.562	3.61612	133.519	1.77933
122647	7258	6928	61.4178	1.87353	88.065	1.4496
122648	9554	9185	81.666	2.15606	268.034	2.51524
122649	18941	18162	151.552	2.9312	440.199	3.21925
122650	17419	16697	147.842	2.89537	351.995	2.87934
122653	19456	18634	204.012	3.40002	140.139	1.81898
122654	16625	15927	133.099	2.74748	16.362	0.632423
122657	10221	9800	214.889	3.49077	264.312	2.49747
122661	6055	5776	138.202	2.80367	129.258	1.75399
122665	13399	12802	339.25	4.38401	124.911	1.71915
122672	17997	17259	113.506	2.53757	232.304	2.34026
122673	18643	17870	400.145	4.76035	154.391	1.90904
